paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year
paper_796d2ee30c31,group1,group1,group1/820_811025639007059969_10.1007%2Fs10107-017-1148-1.fixed.md,10.1007/s10107-017-1148-1,Two-stage non-cooperative games with risk-averse players,two stage non cooperative games with risk averse players,Jong-Shi Pang; Suvrajeet Sen; Uday V. Shanbhag,pang,2017
paper_4b2d65b21f99,group1,group1,group1/820_811025713283989504_10.1007%2Fs10107-017-1157-0.fixed.md,10.1007/s10107-017-1157-0,Quadratic programs with hollows,quadratic programs with hollows,Boshi Yang; Kurt Anstreicher; Samuel Burer,yang,2017
paper_041ed5543f05,group1,group1,group1/820_811027674171441152_10.1007%2Fs10107-017-1156-1.fixed.md,10.1007/s10107-017-1156-1,Visualizing data as objects by DC (difference of convex) optimization,visualizing data as objects by dc difference of convex optimization,Emilio Carrizosa; Vanessa Guerrero; Dolores Romero Morales,carrizosa,2017
paper_01f388b151a5,group1,group1,group1/820_811027808707936257_10.1007%2Fs10107-017-1150-7.fixed.md,10.1007/s10107-017-1150-7,Approximating min-cost chain-constrained spanning trees: a reduction from weighted to unweighted problems,approximating min cost chain constrained spanning trees a reduction from weighted to unweighted problems,Andre Linhares; Chaitanya Swamy,linhares,2017
paper_f51c917321a3,group1,group1,group1/820_811028044301991936_10.1007%2Fs10107-017-1155-2.fixed.md,10.1007/s10107-017-1155-2,Critical multipliers in variational systems via second-order generalized differentiation,critical multipliers in variational systems via second order generalized differentiation,Boris S. Mordukhovich; M. Ebrahim Sarabi,mordukhovich,2017
paper_dcd5b188fbad,group1,group1,group1/820_811029902089256961_10.1007%2Fs10107-017-1138-3.fixed.md,10.1007/s10107-017-1138-3,Deriving convex hulls through lifting and projection,deriving convex hulls through lifting and projection,Trang T. Nguyen; Jean-Philippe P. Richard; Mohit Tawarmalani,nguyen,2017
paper_76bdbdc33292,group1,group1,group1/820_811030516210860032_10.1007%2Fs10107-017-1147-2.fixed.md,10.1007/s10107-017-1147-2,Mixed integer reformulations of integer programs and the affine TU-dimension of a matrix,mixed integer reformulations of integer programs and the affine tu dimension of a matrix,Jörg Bader; Robert Hildebrand; Robert Weismantel; Rico Zenklusen,bader,2017
paper_07e7e65bbe9d,group1,group1,group1/820_811031761524883457_10.1007%2Fs10107-017-1146-3.fixed.md,10.1007/s10107-017-1146-3,On M-stationarity conditions in MPECs and the associated qualification conditions,on m stationarity conditions in mpecs and the associated qualification conditions,Lukáš Adam; René Henrion; Jiří Outrata,adam,2017
paper_56695659f124,group1,group1,group1/820_811032090198933505_10.1007%2Fs10107-017-1145-4.fixed.md,10.1007/s10107-017-1145-4,SOCP reformulation for the generalized trust region subproblem via a canonical form of two symmetric matrices,socp reformulation for the generalized trust region subproblem via a canonical form of two symmetric matrices,Rujun Jiang; Duan Li; Baiyi Wu,jiang,2017
paper_76f4a189974e,group1,group1,group1/820_811033516769804290_10.1007%2Fs10107-017-1144-5.fixed.md,10.1007/s10107-017-1144-5,DC decomposition of nonconvex polynomials with algebraic techniques,dc decomposition of nonconvex polynomials with algebraic techniques,Amir Ali Ahmadi; Georgina Hall,ahmadi,2017
paper_5178cab33fea,group1,group1,group1/820_811033784081186818_10.1007%2Fs10107-017-1149-0.fixed.md,10.1007/s10107-017-1149-0,Bilevel programming for generating discrete representations in multiobjective optimization,bilevel programming for generating discrete representations in multiobjective optimization,Gokhan Kirlik; Serpil Sayin,kirlik,2017
paper_ecdff3770ad8,group1,group1,group1/820_811035380886274049_10.1007%2Fs10107-017-1143-6.fixed.md,10.1007/s10107-017-1143-6,Distributionally robust optimization with matrix moment constraints: Lagrange duality and cutting plane methods,distributionally robust optimization with matrix moment constraints lagrange duality and cutting plane methods,Huifu Xu; Yongchao Liu; Hailin Sun,xu,2017
