paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex
paper_4917c26d1c1d,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1223487751551188994_10.1007%2Fs10107-025-02322-0.fixed.md,10.1007/s10107-025-02322-0,A Lyapunov analysis of Korpelevich's extragradient method with fast and flexible extensions,a lyapunov analysis of korpelevich s extragradient method with fast and flexible extensions,Manu Upadhyaya; Puya Latafat; Pontus Giselsson,upadhyaya,2026.0,"@article{Upadhyaya_2026, title={A Lyapunov analysis of Korpelevichâ€™s extragradient method with fast and flexible extensions}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-025-02322-0}, DOI={10.1007/s10107-025-02322-0}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Upadhyaya, Manu and Latafat, Puya and Giselsson, Pontus}, year={2026}, month=jan }"
paper_3998de3f8612,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1223848455680557056_10.1007%2Fs10107-026-02329-1.fixed.md,10.1007/s10107-026-02329-1,Bounding the optimal number of policies for robust $K$ -Adaptability,bounding the optimal number of policies for robust k adaptability,Jannis Kurtz,kurtz,2026.0,"@article{Kurtz_2026, title={Bounding the optimal number of policies for robust K-Adaptability}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02329-1}, DOI={10.1007/s10107-026-02329-1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kurtz, Jannis}, year={2026}, month=jan }"
paper_5b3b1df32b75,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1226023016257814530_10.1007%2Fs10107-026-02331-7.fixed.md,10.1007/s10107-026-02331-7,A space-decoupling framework for optimization on bounded-rank matrices with orthogonally invariant constraints,a space decoupling framework for optimization on bounded rank matrices with orthogonally invariant constraints,Yan Yang; Bin Gao; Ya-xiang Yuan,yang,2026.0,"@article{Yang_2026, title={A space-decoupling framework for optimization on bounded-rank matrices with orthogonally invariant constraints}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02331-7}, DOI={10.1007/s10107-026-02331-7}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Yang, Yan and Gao, Bin and Yuan, Ya-xiang}, year={2026}, month=feb }"
paper_69728fedbe1c,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1226296051598622721_10.1007%2Fs10107-026-02328-2.fixed.md,10.1007/s10107-026-02328-2,Finding almost tight witness trees,finding almost tight witness trees,Dylan Hyatt-Denesik; Afrouz Jabal Ameli; Laura Sanit谩,denesik,2026.0,"@article{Hyatt_Denesik_2026, title={Finding almost tight witness trees}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02328-2}, DOI={10.1007/s10107-026-02328-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Hyatt-Denesik, Dylan and Ameli, Afrouz Jabal and SanitÃ¡, Laura}, year={2026}, month=feb }"
paper_03edcea2862b,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1230733730155331584_10.1007%2Fs10107-026-02330-8.fixed.md,10.1007/s10107-026-02330-8,Correction: McCormick envelopes in mixed-integer PDE-constrained optimization,correction mccormick envelopes in mixed integer pde constrained optimization,Sven Leyffer; Paul Manns,leyffer,2026.0,"@article{Leyffer_2026, title={Correction: McCormick envelopes in mixed-integer PDE-constrained optimization}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02330-8}, DOI={10.1007/s10107-026-02330-8}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Leyffer, Sven and Manns, Paul}, year={2026}, month=feb }"
paper_2f5029d89ce2,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1231457470279319553_10.1007%2Fs10107-026-02324-6.fixed.md,10.1007/s10107-026-02324-6,Complexity of polytope diameters via perfect matchings,complexity of polytope diameters via perfect matchings,Christian N枚bel; Raphael Steiner,n bel,2026.0,"@article{N_bel_2026, title={Complexity of polytope diameters via perfect matchings}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02324-6}, DOI={10.1007/s10107-026-02324-6}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={NÃ¶bel, Christian and Steiner, Raphael}, year={2026}, month=feb }"
paper_6f1c63945bf1,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_1232826371948937217_10.1007%2Fs10107-026-02333-5.fixed.md,10.1007/s10107-026-02333-5,A Hessian-aware stochastic differential equation for modelling SGD,a hessian aware stochastic differential equation for modelling sgd,Xiang Li; Zebang Shen; Liang Zhang; Niao He,li,2026.0,"@article{Li_2026, title={A Hessian-aware stochastic differential equation for modelling SGD}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-026-02333-5}, DOI={10.1007/s10107-026-02333-5}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Li, Xiang and Shen, Zebang and Zhang, Liang and He, Niao}, year={2026}, month=feb }"
paper_5d5bd9478894,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811786954281582592_10.1007%2Fs10107-010-0374-6.fixed.md,10.1007/s10107-010-0374-6,Strong valid inequalities for orthogonal disjunctions and bilinear covering sets,strong valid inequalities for orthogonal disjunctions and bilinear covering sets,Mohit Tawarmalani; Jean-Philippe P. Richard; Kwanghun Chung,tawarmalani,2010.0,"@article{Tawarmalani_2010, title={Strong valid inequalities for orthogonal disjunctions and bilinear covering sets}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0374-6}, DOI={10.1007/s10107-010-0374-6}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Tawarmalani, Mohit and Richard, Jean-Philippe P. and Chung, Kwanghun}, year={2010}, month=may, pages={481–512} }"
paper_e3c781d7f10d,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811786999936581635_10.1007%2Fs10107-010-0361-y.fixed.md,10.1007/s10107-010-0361-y,Solving a real-world train-unit assignment problem,solving a real world train unit assignment problem,Valentina Cacchiani; Alberto Caprara; Paolo Toth,cacchiani,2010.0,"@article{Cacchiani_2010, title={Solving a real-world train-unit assignment problem}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0361-y}, DOI={10.1007/s10107-010-0361-y}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Cacchiani, Valentina and Caprara, Alberto and Toth, Paolo}, year={2010}, month=may, pages={207–231} }"
paper_2b2291c3487a,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811787240681242626_10.1007%2Fs10107-010-0360-z.fixed.md,10.1007/s10107-010-0360-z,Perspective reformulations of mixed integer nonlinear programs with indicator variables,perspective reformulations of mixed integer nonlinear programs with indicator variables,Oktay G眉nl眉k; Jeff Linderoth,g nl k,2010.0,"@article{G_nl_k_2010, title={Perspective reformulations of mixed integer nonlinear programs with indicator variables}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0360-z}, DOI={10.1007/s10107-010-0360-z}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Günlük, Oktay and Linderoth, Jeff}, year={2010}, month=may, pages={183–205} }"
