community_id,community_size,top_keywords,representative_papers,high_impact_papers
0,151,linear; programming; algorithm; interior; point; algorithms,paper_2eebca9cb25a; paper_66709548fc0e; paper_fe9773188a59,paper_2eebca9cb25a; paper_66709548fc0e; paper_e90a218d202c
1,119,optimization; programming; nonlinear; problems; conditions; algorithms,paper_1797334e46f2; paper_d6c22ea79459; paper_592789b47f7b,paper_d6c22ea79459; paper_d64ef55939a3; paper_1797334e46f2
2,99,linear; programming; decomposition; algorithm; programs; simplex,paper_35d0ab65068f; paper_fa9a61d176a5; paper_60b3bdfdf643,paper_fa9a61d176a5; paper_35d0ab65068f; paper_28b509d4b6b5
3,98,integer; mixed; programming; programs; inequalities; cuts,paper_fe39d1eaf07b; paper_cd6ec042d204; paper_1dac17e6b76c,paper_fe39d1eaf07b; paper_1dac17e6b76c; paper_1a1ca0b91a3d
4,93,algorithm; optimization; convex; programming; problem; problems,paper_a6717eb82daf; paper_0ebdc3b1b83a; paper_8682df5c3d6f,paper_0ebdc3b1b83a; paper_44631d5be4d4; paper_caf834050405
5,82,complementarity; linear; algorithm; problems; problem; fixed,paper_b6662fa0c4f4; paper_1142458d1253; paper_fc06e2d40f48,paper_1142458d1253; paper_fc06e2d40f48; paper_c8eba6e1bfcf
6,81,problems; error; bounds; complementarity; nonlinear; newton,paper_e0b629ccef11; paper_a1325937cdfa; paper_5bf8604e3f6c,paper_e0b629ccef11; paper_4e5e0fbfbd47; paper_8946e0f034da
7,78,quadratic; programming; semidefinite; optimization; cut; problem,paper_49b26ce08fb5; paper_b53c398a4bde; paper_aa66c9b02646,paper_b53c398a4bde; paper_ce81d08d91fd; paper_aa66c9b02646
8,70,problem; salesman; traveling; tree; travelling; problems,paper_b4aa718fc3f6; paper_742456c5035d; paper_b2e735173e22,paper_b4aa718fc3f6; paper_b2e735173e22; paper_16f90555b097
9,69,facets; packing; problem; polytope; set; covering,paper_9becb780c96e; paper_8424d4564b13; paper_a6235cfcd085,paper_8424d4564b13; paper_9becb780c96e; paper_c85fc7439560
10,58,programming; problems; programs; linear; variational; mathematical,paper_ad8d3be6d25f; paper_58ade39b6735; paper_5c877d373ff8,paper_ad8d3be6d25f; paper_58ade39b6735; paper_487b41c611d6
11,54,programming; stochastic; integer; programs; sensitivity; quadratic,paper_a5bdf3ba1979; paper_9f081b4edc1f; paper_cb9be1a13261,paper_a5bdf3ba1979; paper_9f081b4edc1f; paper_cb9be1a13261
12,52,algorithm; submodular; linear; convex; polynomial; programming,paper_265da7343401; paper_22ab9db71d9e; paper_5bd1c04b7873,paper_22ab9db71d9e; paper_5bd1c04b7873; paper_86ea7cad1b62
13,42,quadratic; optimization; trust; region; programming; convergence,paper_4e7b145f3fdd; paper_c05d80ac6a74; paper_942a9d5f60e7,paper_4e7b145f3fdd; paper_942a9d5f60e7; paper_c05d80ac6a74
14,38,simplex; network; algorithm; dual; problem; flow,paper_55d60bef8f1f; paper_1149693c0bdd; paper_caf23ed0053d,paper_caf23ed0053d; paper_55d60bef8f1f; paper_623f72bc0bb5
15,34,duality; programming; problems; convex; optimization; programs,paper_72fbe26329a2; paper_981bc58d2e13; paper_915cab51c3ba,paper_981bc58d2e13; paper_8c65cfcb6860; paper_915cab51c3ba
16,32,problems; convex; programming; algorithm; bilinear; concave,paper_f36ade2406ac; paper_2003ba83cfa0; paper_d7793bd961a7,paper_d7793bd961a7; paper_2003ba83cfa0; paper_25cf8e417e61
17,32,global; optimization; sets; functions; linear; algorithm,paper_60e14d3e75ee; paper_a18061fd2101; paper_7ac781652a89,paper_a18061fd2101; paper_60e14d3e75ee; paper_7ac781652a89
18,32,variational; equilibrium; inequalities; algorithm; linear; complementarity,paper_6183d42a2131; paper_5bb737d16965; paper_c5e081749748,paper_6183d42a2131; paper_5bb737d16965; paper_f5d0ccd8b0c7
19,30,optimization; robust; stochastic; infinite; programming; linear,paper_62e6818edaa8; paper_6d7fece5703e; paper_b10ca23c00c3,paper_b10ca23c00c3; paper_160503a46a72; paper_ce92e9669dc6
20,20,variable; conjugate; algorithms; metric; gradient; quasi,paper_05b379d99a97; paper_dbf5cfd9ef9a; paper_0e17ca276274,paper_05b379d99a97; paper_dbf5cfd9ef9a; paper_0e17ca276274
21,10,functions; convexity; pseudoconvex; pseudo; quasi; second,paper_2221e58830c9; paper_69f74b17b77f; paper_d9734fc09a8d,paper_69f74b17b77f; paper_2221e58830c9; paper_d9734fc09a8d
22,9,stochastic; dominance; regularity; infinite; convex; semi,paper_d9d0df4da89b; paper_d442cb6124d6; paper_7fe2686b8cca,paper_d9d0df4da89b; paper_d442cb6124d6; paper_7fe2686b8cca
23,7,semidefinite; programming; stress; matrices; frameworks; coordinate,paper_738e5379e45c; paper_e81e44a2fa3e; paper_3835277602cb,paper_738e5379e45c; paper_e81e44a2fa3e; paper_3835277602cb
24,6,programming; partially; finite; convex; relative; part,paper_75cecd66a3e8; paper_653ce486d05f; paper_575677c66a22,paper_75cecd66a3e8; paper_653ce486d05f; paper_575677c66a22
25,6,minimax; constrained; optimization; algorithms; continuous; maximin,paper_9fdc8d003747; paper_b4bf3ba5c436; paper_2bb4d7721038,paper_9fdc8d003747; paper_b4bf3ba5c436; paper_2bb4d7721038
26,5,semidefinite; programming; problem; min; max; problems,paper_94fe1967e8c9; paper_1edf798bb824; paper_d50b540785a4,paper_94fe1967e8c9; paper_1edf798bb824; paper_d50b540785a4
27,5,duality; convex; gap; programming; conic; constrained,paper_f05bdc1c23b7; paper_9a4db4d74046; paper_7f361a30bbbd,paper_f05bdc1c23b7; paper_9a4db4d74046; paper_7f361a30bbbd
28,4,solving; real; world; train; unit; assignment,paper_43b99b1b3ac2; paper_664deeae99a3; paper_955f847c8ded,paper_43b99b1b3ac2; paper_664deeae99a3; paper_955f847c8ded
29,4,approximation; linear; problems; product; quadratic; programming,paper_9090815411f2; paper_a456a04bff78; paper_a7e785410d4e,paper_9090815411f2; paper_a456a04bff78; paper_a7e785410d4e
30,4,partially; separable; recognizing; underlying; sparsity; optimization,paper_6e27cb3c401b; paper_6f892a972bd3; paper_d8b6a4b8a360,paper_6e27cb3c401b; paper_6f892a972bd3; paper_d8b6a4b8a360
31,4,programming; supports; computational; aspects; two; segment,paper_642cc0af70b1; paper_d94fa41a364b; paper_b6fa51e55f08,paper_642cc0af70b1; paper_d94fa41a364b; paper_b6fa51e55f08
32,4,convergent; globally; conjugate; gradient; without; derivatives,paper_1e010dd52404; paper_75dacf17e4c1; paper_00c7bf8b2c6d,paper_1e010dd52404; paper_75dacf17e4c1; paper_00c7bf8b2c6d
33,4,optimality; conditions; constraint; programming; geometry; qualifications,paper_ed4e7a91ba80; paper_1c5624e53109; paper_741ed31148fa,paper_ed4e7a91ba80; paper_1c5624e53109; paper_741ed31148fa
34,4,programming; semi; infinite; discretization; implementation; rate,paper_7878226ebb33; paper_b216db755fd6; paper_5e4e42447040,paper_7878226ebb33; paper_b216db755fd6; paper_5e4e42447040
35,4,minimization; nuclear; norm; point; planted; clique,paper_a050ea864c21; paper_31f326f79e52; paper_42de9f56bff5,paper_a050ea864c21; paper_31f326f79e52; paper_42de9f56bff5
36,4,multiknapsack; problem; probabilistic; knapsack; rates; convergence,paper_0d37ae0bdcb1; paper_3875af110cdd; paper_5b163fa820cf,paper_0d37ae0bdcb1; paper_3875af110cdd; paper_5b163fa820cf
37,4,computationally; difficult; set; covering; problems; experimental,paper_41b0efcffdff; paper_4f9a6009eb81; paper_60ee2757186b,paper_41b0efcffdff; paper_4f9a6009eb81; paper_60ee2757186b
38,3,stochastic; solution; complementarity; problems; two; stage,paper_31a02ef73189; paper_490108a3e5e7; paper_412f8a00aad3,paper_31a02ef73189; paper_490108a3e5e7; paper_412f8a00aad3
39,3,nonlinear; semidefinite; programming; primal; dual; interior,paper_b8fc92f779d1; paper_d8ccae6c6cae; paper_48a202fb6951,paper_b8fc92f779d1; paper_d8ccae6c6cae; paper_48a202fb6951
40,3,location; facility; average; distances; structure; solution,paper_93ec471d2c25; paper_6dc35a7ed972; paper_ee4dd4b1cc86,paper_93ec471d2c25; paper_6dc35a7ed972; paper_ee4dd4b1cc86
41,3,convex; critical; angles; cone; polyhedral; cones,paper_e5293958e682; paper_2f0bfcb58975; paper_ad9c6e5f6335,paper_e5293958e682; paper_2f0bfcb58975; paper_ad9c6e5f6335
42,3,price; anarchy; routing; games; function; demand,paper_849d8348d4b3; paper_2ac0d2d11d59; paper_c6cd57461bf8,paper_849d8348d4b3; paper_2ac0d2d11d59; paper_c6cd57461bf8
43,3,problems; combinatorial; algorithms; approximating; class; rational,paper_ad940b44ec0e; paper_cf426abdbb16; paper_632d417f323f,paper_ad940b44ec0e; paper_cf426abdbb16; paper_632d417f323f
44,3,relaxation; ellipsoid; systems; linear; variable; metric,paper_325ec5893ad2; paper_c003ba584772; paper_bd205acac1ac,paper_325ec5893ad2; paper_c003ba584772; paper_bd205acac1ac
