paper_id,community_id
paper_002d3c49df2f,1
paper_003397aa0c05,1
paper_004f5dc97ef3,9
paper_004fca214fd4,14
paper_00776bf0443f,226
paper_009940537138,1
paper_00c4dd66000a,11
paper_00c7bf8b2c6d,32
paper_00dbb21f0313,7
paper_00df1e57d1b5,2
paper_0102a0093533,439
paper_010c347aabba,77
paper_014083318ff7,2
paper_016a3ef6cb98,17
paper_016cf2f4c922,18
paper_016fc9d40713,1002
paper_0192389b99d5,4
paper_01ce5378d844,8
paper_01d6139435a1,257
paper_01f388b151a5,61
paper_02011a6031d2,624
paper_023e0927d909,5
paper_026a9c3e0384,0
paper_026cadf525b7,674
paper_026e1fdaf7e3,7
paper_02890b551eb6,417
paper_02f00a9f7a62,4
paper_030d426235a1,4
paper_0317e22d61c1,941
paper_032f951ceea4,5
paper_03c3b89ae1dc,7
paper_03d2b82d33bf,870
paper_0406784ce773,445
paper_0413b819e42a,976
paper_041ed5543f05,109
paper_0431c122c0cb,283
paper_0437029cb56d,9
paper_04552060ef51,1070
paper_045db5fbe0be,688
paper_04761ca72dda,10
paper_04cfb495918a,9
paper_04f50e026975,390
paper_04f7c9421edc,11
paper_050488965000,79
paper_05048a4b483f,649
paper_050ee555b2f1,5
paper_053777a52030,15
paper_054f35464f11,11
paper_055197d343ca,3
paper_055b88650b3d,14
paper_0586d5c36901,972
paper_05a04830cc3e,14
paper_05ae8daf3038,1026
paper_05b379d99a97,20
paper_05c40318c252,13
paper_05c495959e78,748
paper_05d576a4db4a,1034
paper_05e361912fc7,12
paper_05eee69ddffa,5
paper_0629e4ac2a2a,327
paper_062e27aa4c26,5
paper_064a0227590a,53
paper_064ab366af97,4
paper_0681201d9d64,3
paper_06c52cb051f0,4
paper_06cd7cc9fd5b,1087
paper_06d92662ee78,18
paper_06ff6c31dc63,7
paper_07066cd88506,5
paper_0732900238fb,591
paper_07345f26fb35,0
paper_075c9f8e10a3,4
paper_076985f21735,328
paper_07774c9a0bbb,12
paper_0779099b13b2,5
paper_0780dcf339fd,71
paper_07935940c2f2,1226
paper_07a9fc32ce11,18
paper_07cec833da4f,1
paper_07de12d41c60,628
paper_07e7e65bbe9d,10
paper_07f82ffc3426,2
paper_080e76fb6ead,255
paper_085cef80ea40,1050
paper_0881afe6e466,974
paper_08cf3b3d4e14,2
paper_08f77c55d05c,1
paper_093e36637577,19
paper_09503d2044d5,6
paper_0999a2ea6d64,10
paper_09a7885a3141,264
paper_09dd0dfe1df7,65
paper_09e1892dd5b4,4
paper_09eac21b0e9f,340
paper_09ebf5346c8d,509
paper_0a0bf77d8b6c,18
paper_0a31f203b6d4,0
paper_0a6660f84779,480
paper_0a86609cc348,962
paper_0ad49886e6e7,954
paper_0ad799ba8fc6,1090
paper_0ae58ceb210d,8
paper_0af3fd6046bb,4
paper_0af6d8916293,360
paper_0affa3795e02,687
paper_0b21c0526bf1,0
paper_0b8bd27985a6,1
paper_0b900e8ebdcb,400
paper_0b932455278a,21
paper_0b9f2ffd43ca,5
paper_0ba32cc3e56f,635
paper_0bab953769c5,1
paper_0bb2c62dd163,7
paper_0bf18f7f6036,12
paper_0c31df7c6608,1054
paper_0c3a8e1f5868,371
paper_0c4d2eb5784e,790
paper_0c65f2bf8359,1193
paper_0c721b83ee9b,517
paper_0c77dfc144d8,14
paper_0c8559534dfc,240
paper_0cd5b7fe640e,3
paper_0ce1c37631ce,485
paper_0cf3f5e5c8b4,4
paper_0cf6adf38baa,4
paper_0d1a8c382560,15
paper_0d1b5d3c264b,89
paper_0d25ab1e0a10,18
paper_0d2d011c3503,10
paper_0d3728f1e260,11
paper_0d37ae0bdcb1,36
paper_0d794857d8fe,18
paper_0d93cddc8e30,196
paper_0da866d0178e,453
paper_0da96d36802c,4
paper_0dbdda0bd792,180
paper_0dd89802790d,48
paper_0deb53dfa4f1,66
paper_0dfd492f8fb9,7
paper_0e0a1647b470,736
paper_0e17ca276274,20
paper_0e1b6628b0da,0
paper_0e1ebf914212,56
paper_0e2dfca6d749,15
paper_0e3fddb1ff84,4
paper_0e5da9e02da9,7
paper_0e7f747b1bd9,1151
paper_0e9650d4b08d,7
