paper_id,title,year,journal,in_degree,out_degree,pagerank,betweenness
paper_2eebca9cb25a,Polynomial Time Algorithms for Linear Programming,1984,group1,57,0,0.0057023461,0.0
paper_9becb780c96e,BLOCKING AND ANTI-BLOCKING PAIRS OF POLYHEDRA*,1971,group3,15,0,0.0027240638,0.0
paper_fe39d1eaf07b,A lift-and-project cutting plane algorithm for mixed 0-1 programs,1993,group3,19,2,0.0026434757,4.44547e-05
paper_66709548fc0e,"A POLYNOMIAL-TIME ALGORITHM, BASED ON NEWTON'S METHOD, FOR LINEAR PROGRAMMING",1987,group2,29,2,0.0024758727,2.3867e-06
paper_35d0ab65068f,Methods of Nonlinear Programming,,group1,11,0,0.0024206761,0.0
paper_b4aa718fc3f6,The Traveling-Salesman Problem and Minimum Spanning Trees: Part II,1971,group3,14,0,0.0023591765,0.0
paper_a6717eb82daf,A FINITE ALGORITHM TO MAXIMIZE CERTAIN PSEUDOCONCAVE FUNCTIONS ON POLYTOPES *,1975,group2,4,0,0.0023217473,0.0
paper_8424d4564b13,ON THE FACIAL STRUCTURE OF SET PACKING POLYHEDRA,1973,group4,16,0,0.0022764792,0.0
paper_b6662fa0c4f4,THE COMPLEMENTARITY PROBLEM *,1971,group2,8,0,0.0022055162,0.0
paper_0ebdc3b1b83a,VALIDATION OF SUBGRADIENT OPTIMIZATION,1973,group3,12,0,0.0021728519,0.0
paper_8682df5c3d6f,Finding the Nearest Point in a Polytope,1976,group4,8,1,0.002128271,5.8886e-06
paper_44631d5be4d4,NOTE ON A METHOD OF CONJUGATE SUBGRADIENTS FOR MINIMIZING NONDIFFERENTIABLE FUNCTIONS,1974,group4,11,2,0.0021130556,7.6731e-06
paper_fe9773188a59,AN ALGORITHM FOR LINEAR PROGRAMMING WHICH REQUIRES $\mathbf{O}((m + n)n^2 + (m + n)^{1.5}n)L)$ ARITHMETIC OPERATIONS,1987,group3,14,0,0.0020900029,0.0
paper_a6235cfcd085,PROPERTIES OF VERTEX PACKING AND INDEPENDENCE SYSTEM POLYHEDRA*,1973,group3,10,0,0.0020880792,0.0
paper_fa9a61d176a5,The Decomposition Principle for Linear Programs,,group1,15,0,0.0020387864,0.0
paper_60b3bdfdf643,ANALYSIS OF MATHEMATICAL PROGRAMMING PROBLEMS PRIOR TO APPLYING THE SIMPLEX ALGORITHM,1974,group2,9,0,0.001987157,0.0
paper_ad8d3be6d25f,A NECESSARY AND SUFFICIENT REGULARITY CONDITION TO HAVE BOUNDED MULTIPLIERS IN NONCONVEX PROGRAMMING*,1976,group3,10,0,0.001898373,0.0
paper_1142458d1253,HOMOTOPIES FOR COMPUTATION OF FIXED POINTS ON UNBOUNDED REGIONS*,1972,group3,17,2,0.0018642552,1.23126e-05
paper_c1f777eb3eca,ON PROJECTED NEWTON BARRIER METHODS FOR LINEAR PROGRAMMING AND AN EQUIVALENCE TO KARMARKAR'S PROJECTIVE METHOD,1986,group2,15,6,0.0018253411,0.0001796814
paper_c85fc7439560,FACETS OF THE KNAPSACK POLYTOPE*,1973,group4,11,3,0.0017825263,4.6618e-06
paper_fc06e2d40f48,HOMOTOPIES FOR COMPUTATION OF FIXED POINTS*,1971,group3,11,0,0.0017431819,0.0
paper_f17151415d9c,SOME CLASSES OF MATRICES IN LINEAR COMPLEMENTARITY THEORY*,1973,group4,7,0,0.001553451,0.0
paper_742456c5035d,An additive bounding procedure for the asymmetric travelling salesman problem,1981,group3,2,4,0.0015222221,3.27444e-05
paper_cd6ec042d204,SEQUENTIAL CONVEXIFICATION IN REVERSE CONVEX AND DISJUNCTIVE PROGRAMMING,1980,group4,3,0,0.0015090609,0.0
paper_58ade39b6735,ALGORITHMS FOR THE VECTOR MAXIMIZATION PROBLEM *,1971,group2,7,0,0.0014991748,0.0
paper_1797334e46f2,A NEW ARC ALGORITHM FOR UNCONSTRAINED OPTIMIZATION,1977,group3,6,0,0.0014561829,0.0
paper_d1c14836cf5c,ON THE BASIC THEOREM OF COMPLEMENTARITY*,1971,group2,7,1,0.001415521,6.0225e-06
paper_72fbe26329a2,A GENERAL SADDLE POINT RESULT FOR CONSTRAINED OPTIMIZATION,1971,group3,2,0,0.0013866659,0.0
paper_13efd1e8b11f,FACET OF REGULAR 0-1 POLYTOPES,1975,group3,10,3,0.0013630832,3.2566e-06
paper_28b509d4b6b5,LARGE-SCALE LINEARLY CONSTRAINED OPTIMIZATION*,1977,group3,10,8,0.0013120022,5.72625e-05
