paper_id,title,year,journal,in_degree,out_degree,pagerank,betweenness
paper_2eebca9cb25a,Polynomial Time Algorithms for Linear Programming,1984,group1,57,0,0.0057023461,0.0
paper_66709548fc0e,"A POLYNOMIAL-TIME ALGORITHM, BASED ON NEWTON'S METHOD, FOR LINEAR PROGRAMMING",1987,group2,29,2,0.0024758727,2.3867e-06
paper_e90a218d202c,INTERIOR PATH FOLLOWING PRIMAL-DUAL ALGORITHMS. PART I: LINEAR PROGRAMMING,1988,group3,24,4,0.00127257,6.00752e-05
paper_2635bcfaf7c2,A POLYNOMIAL-TIME ALGORITHM FOR A CLASS OF LINEAR COMPLEMENTARITY PROBLEMS,1988,group4,22,0,0.0011794699,0.0
paper_fe39d1eaf07b,A lift-and-project cutting plane algorithm for mixed 0-1 programs,1993,group3,19,2,0.0026434757,4.44547e-05
paper_ea84fee6061b,An $\mathrm{O}(n^3 L)$ potential reduction algorithm for linear programming,1988,group4,19,0,0.0008947848,0.0
paper_1142458d1253,HOMOTOPIES FOR COMPUTATION OF FIXED POINTS ON UNBOUNDED REGIONS*,1972,group3,17,2,0.0018642552,1.23126e-05
paper_1b0feea93f8e,A VARIATION ON KARMARKAR'S ALGORITHM FOR SOLVING LINEAR PROGRAMMING PROBLEMS,1986,group2,17,2,0.0011814196,2.49062e-05
paper_8424d4564b13,ON THE FACIAL STRUCTURE OF SET PACKING POLYHEDRA,1973,group4,16,0,0.0022764792,0.0
paper_93c51058bd14,AN IMPLEMENTATION OF KARMARKAR'S ALGORITHM FOR LINEAR PROGRAMMING,1989,group3,16,5,0.0009781715,3.26618e-05
paper_9becb780c96e,BLOCKING AND ANTI-BLOCKING PAIRS OF POLYHEDRA*,1971,group3,15,0,0.0027240638,0.0
paper_fa9a61d176a5,The Decomposition Principle for Linear Programs,,group1,15,0,0.0020387864,0.0
paper_c1f777eb3eca,ON PROJECTED NEWTON BARRIER METHODS FOR LINEAR PROGRAMMING AND AN EQUIVALENCE TO KARMARKAR'S PROJECTIVE METHOD,1986,group2,15,6,0.0018253411,0.0001796814
paper_e0b629ccef11,"FINITE-DIMENSIONAL VARIATIONAL INEQUALITY AND NONLINEAR COMPLEMENTARITY PROBLEMS: A SURVEY OF THEORY, ALGORITHMS AND APPLICATIONS",1989,group3,15,0,0.0012819571,0.0
paper_154758068109,INTERIOR PATH FOLLOWING PRIMAL-DUAL ALGORITHMS. PART II: CONVEX QUADRATIC PROGRAMMING,1988,group3,15,0,0.0009175421,0.0
paper_b4aa718fc3f6,The Traveling-Salesman Problem and Minimum Spanning Trees: Part II,1971,group3,14,0,0.0023591765,0.0
paper_fe9773188a59,AN ALGORITHM FOR LINEAR PROGRAMMING WHICH REQUIRES $\mathbf{O}((m + n)n^2 + (m + n)^{1.5}n)L)$ ARITHMETIC OPERATIONS,1987,group3,14,0,0.0020900029,0.0
paper_1dac17e6b76c,Chvátal closures for mixed integer programming problems,1988,group3,14,3,0.0012655148,8.6991e-06
paper_b4dd5c02a427,An $\mathrm{O}(\sqrt{n} L)$ iteration potential reduction algorithm for linear complementarity problems,1989,group2,14,13,0.0006813853,3.37927e-05
paper_0ebdc3b1b83a,VALIDATION OF SUBGRADIENT OPTIMIZATION,1973,group3,12,0,0.0021728519,0.0
paper_c1b570859dc1,Polynomial-time algorithms for linear programming based only on primal scaling and projected gradients of a potential function,1990,group4,12,7,0.000651692,1.37959e-05
paper_35d0ab65068f,Methods of Nonlinear Programming,,group1,11,0,0.0024206761,0.0
paper_44631d5be4d4,NOTE ON A METHOD OF CONJUGATE SUBGRADIENTS FOR MINIMIZING NONDIFFERENTIABLE FUNCTIONS,1974,group4,11,2,0.0021130556,7.6731e-06
paper_c85fc7439560,FACETS OF THE KNAPSACK POLYTOPE*,1973,group4,11,3,0.0017825263,4.6618e-06
paper_fc06e2d40f48,HOMOTOPIES FOR COMPUTATION OF FIXED POINTS*,1971,group3,11,0,0.0017431819,0.0
paper_1a1ca0b91a3d,Optimizing over the split closure,2006,group2,11,0,0.0011998695,0.0
paper_a6235cfcd085,PROPERTIES OF VERTEX PACKING AND INDEPENDENCE SYSTEM POLYHEDRA*,1973,group3,10,0,0.0020880792,0.0
paper_ad8d3be6d25f,A NECESSARY AND SUFFICIENT REGULARITY CONDITION TO HAVE BOUNDED MULTIPLIERS IN NONCONVEX PROGRAMMING*,1976,group3,10,0,0.001898373,0.0
paper_13efd1e8b11f,FACET OF REGULAR 0-1 POLYTOPES,1975,group3,10,3,0.0013630832,3.2566e-06
paper_28b509d4b6b5,LARGE-SCALE LINEARLY CONSTRAINED OPTIMIZATION*,1977,group3,10,8,0.0013120022,5.72625e-05
