source_paper_id,target_paper_id,ref_idx,match_method,match_score
paper_527f52972bd5,paper_a6f0a53f9184,3,title_fuzzy,1.0
paper_527f52972bd5,paper_9f8a8c8e4d68,11,title_fuzzy,0.9636
paper_31f1da1076ec,paper_97248fa35541,4,title_exact,0.95
paper_31f1da1076ec,paper_17a16fd36ec8,33,title_fuzzy,1.0
paper_31f1da1076ec,paper_054f35464f11,34,title_fuzzy,1.0
paper_055b88650b3d,paper_1149693c0bdd,1,title_fuzzy,1.0
paper_055b88650b3d,paper_caf23ed0053d,2,title_fuzzy,1.0
paper_ffea10f477d9,paper_60e14d3e75ee,2,title_fuzzy,1.0
paper_ffea10f477d9,paper_7ac781652a89,15,title_fuzzy,0.9924
paper_72b7e1844a10,paper_a1325937cdfa,20,title_fuzzy,1.0
paper_5e4e42447040,paper_7878226ebb33,6,title_fuzzy,1.0
paper_5e4e42447040,paper_b216db755fd6,7,title_fuzzy,1.0
paper_a34639824a0b,paper_90b78518a4fc,3,title_fuzzy,1.0
paper_169510b0f515,paper_b4dd5c02a427,4,title_fuzzy,0.957
paper_169510b0f515,paper_527f52972bd5,6,title_fuzzy,1.0
paper_169510b0f515,paper_61139ce5651c,8,title_fuzzy,1.0
paper_169510b0f515,paper_43a52b7c57da,15,title_fuzzy,0.9641
paper_169510b0f515,paper_c625d95309ba,17,title_fuzzy,1.0
paper_169510b0f515,paper_6d016834b3e3,19,title_fuzzy,0.9591
paper_4e0b84284947,paper_82ddd193a097,7,title_fuzzy,1.0
paper_4e0b84284947,paper_c41ba6147b7a,10,title_fuzzy,0.9677
paper_4e0b84284947,paper_254d08e62478,14,title_fuzzy,1.0
paper_5c877d373ff8,paper_dbb1234fedd1,7,title_fuzzy,1.0
paper_5c877d373ff8,paper_d1c14836cf5c,16,title_fuzzy,1.0
paper_5c877d373ff8,paper_ad8d3be6d25f,18,title_fuzzy,1.0
paper_5c877d373ff8,paper_bf7aa8d103c3,26,title_fuzzy,1.0
paper_5c877d373ff8,paper_aa3e4f16a0dd,30,title_fuzzy,1.0
paper_5c877d373ff8,paper_f4f1004e1e1b,35,title_fuzzy,1.0
paper_5c877d373ff8,paper_13142626a067,36,title_fuzzy,0.9939
paper_5c877d373ff8,paper_8b96b4c53e44,41,title_fuzzy,1.0
paper_5c877d373ff8,paper_494e850adf56,43,title_fuzzy,1.0
paper_3c0c2945e4f9,paper_738e5379e45c,17,title_fuzzy,1.0
paper_7aeecbd24a42,paper_ff2112d16a5f,2,title_fuzzy,1.0
paper_7aeecbd24a42,paper_0f2b452995d8,7,title_fuzzy,1.0
paper_7aeecbd24a42,paper_e31370f51d76,9,title_fuzzy,0.9949
paper_7aeecbd24a42,paper_8e4591805b03,15,title_fuzzy,1.0
paper_204b439daff5,paper_9becb780c96e,6,title_fuzzy,1.0
paper_204b439daff5,paper_9eadad5a5fe8,8,title_fuzzy,1.0
paper_204b439daff5,paper_4eea9ee86b7e,12,title_fuzzy,1.0
paper_24f9766c35f3,paper_fe39d1eaf07b,2,title_fuzzy,1.0
paper_24f9766c35f3,paper_44eba3c05124,6,title_fuzzy,1.0
paper_24f9766c35f3,paper_f511c8c1f934,19,title_fuzzy,1.0
paper_918df58d3f95,paper_2e5ea3cbb75b,7,title_fuzzy,1.0
paper_918df58d3f95,paper_62da3bf3e0ec,14,title_fuzzy,0.9419
paper_6f66d5c0408e,paper_75cecd66a3e8,1,title_fuzzy,1.0
paper_8e4591805b03,paper_0f2b452995d8,7,title_fuzzy,1.0
paper_8e4591805b03,paper_346c30660437,9,title_fuzzy,1.0
paper_4fcd84c7ff4a,paper_fb7a000f1ee3,27,title_fuzzy,1.0
paper_7a69468572e3,paper_4083df9fd2ea,13,title_fuzzy,1.0
paper_7a69468572e3,paper_665f6642c0f9,34,title_fuzzy,1.0
paper_58254f02c090,paper_2c32fa64feac,3,title_fuzzy,1.0
paper_58254f02c090,paper_030d426235a1,6,title_fuzzy,1.0
paper_58254f02c090,paper_e1b594ccb0c9,7,title_fuzzy,1.0
paper_7c569761f3e0,paper_23d850009185,7,title_fuzzy,1.0
paper_879c4cce8034,paper_db07aee2af1f,5,title_fuzzy,1.0
paper_879c4cce8034,paper_093e36637577,16,title_fuzzy,1.0
paper_879c4cce8034,paper_afb9093af1cd,17,title_fuzzy,1.0
paper_879c4cce8034,paper_c5a17a807806,20,title_fuzzy,1.0
paper_879c4cce8034,paper_ab4235421e75,21,title_fuzzy,1.0
paper_c42f9a5a2b2b,paper_8c65cfcb6860,16,title_fuzzy,1.0
paper_c42f9a5a2b2b,paper_981bc58d2e13,20,title_fuzzy,1.0
paper_c42f9a5a2b2b,paper_ebd812493707,24,title_fuzzy,1.0
paper_153247dbd1f7,paper_e786c365ae1b,13,title_fuzzy,1.0
paper_153247dbd1f7,paper_328565bacdaf,31,title_fuzzy,1.0
paper_66709548fc0e,paper_2eebca9cb25a,6,title_fuzzy,0.932
paper_66709548fc0e,paper_fe9773188a59,15,title_fuzzy,0.9802
paper_cd82e932e3fe,paper_2eebca9cb25a,4,title_fuzzy,0.932
paper_58ceea3ee545,paper_90f67c59cc76,2,title_fuzzy,1.0
paper_58ceea3ee545,paper_cb59bbde786f,7,title_fuzzy,1.0
paper_58ceea3ee545,paper_3f95b517b02a,14,title_fuzzy,0.982
paper_58ceea3ee545,paper_b4aa718fc3f6,18,title_fuzzy,1.0
paper_58ceea3ee545,paper_0ebdc3b1b83a,19,title_fuzzy,1.0
paper_58ceea3ee545,paper_59b41f4c81db,20,title_fuzzy,1.0
paper_dbd6be7a1201,paper_6200497f9032,1,title_fuzzy,1.0
paper_dbd6be7a1201,paper_abf282151a5b,14,title_fuzzy,1.0
paper_e8f25283bad5,paper_2ab40b83c304,32,title_fuzzy,0.984
paper_003397aa0c05,paper_ef8ce3bccf5d,5,title_fuzzy,1.0
paper_003397aa0c05,paper_66d5a55f7d35,15,title_fuzzy,1.0
paper_003397aa0c05,paper_1c20e731657b,17,title_fuzzy,1.0
paper_003397aa0c05,paper_08f77c55d05c,30,title_fuzzy,1.0
paper_003397aa0c05,paper_154758068109,33,title_fuzzy,1.0
paper_003397aa0c05,paper_46120dda5b61,36,title_fuzzy,1.0
paper_003397aa0c05,paper_eff8c04decdc,43,title_fuzzy,1.0
paper_ee936500a2e2,paper_58ade39b6735,10,title_fuzzy,1.0
paper_23aea54a5430,paper_2eebca9cb25a,2,title_fuzzy,0.932
paper_23aea54a5430,paper_26a5172bc2d1,3,title_fuzzy,1.0
paper_23aea54a5430,paper_1ad93b766f6c,5,title_fuzzy,1.0
paper_59083c08334e,paper_26b8c26bd2eb,3,title_fuzzy,0.9718
paper_59083c08334e,paper_9becb780c96e,11,title_fuzzy,1.0
paper_59083c08334e,paper_9c90b38e555f,12,title_fuzzy,1.0
paper_59083c08334e,paper_c3ecc454632d,22,title_fuzzy,1.0
paper_59083c08334e,paper_df58135da678,25,title_fuzzy,1.0
paper_59083c08334e,paper_cbe76c0192ba,30,title_fuzzy,1.0
paper_7de84820406e,paper_1a1ca0b91a3d,7,title_fuzzy,1.0
paper_7de84820406e,paper_0fe1d7342768,10,doi_exact,1.0
paper_bf7aa8d103c3,paper_ad8d3be6d25f,5,title_fuzzy,1.0
paper_bf7aa8d103c3,paper_fe288c63b350,9,title_fuzzy,1.0
paper_26764cbbe63f,paper_0a0bf77d8b6c,11,title_fuzzy,1.0
paper_26764cbbe63f,paper_0d25ab1e0a10,14,title_fuzzy,1.0
paper_c851c99227c6,paper_4aa9d04d30c0,3,title_fuzzy,1.0
paper_c851c99227c6,paper_e97dc2925205,4,title_fuzzy,1.0
paper_8babaef60d75,paper_fb6f5f6bb787,17,title_fuzzy,1.0
paper_8babaef60d75,paper_2f7f4633e863,23,title_fuzzy,0.9926
paper_395e8b194f5c,paper_a009bed1626f,2,title_fuzzy,1.0
paper_395e8b194f5c,paper_592789b47f7b,6,title_fuzzy,1.0
paper_395e8b194f5c,paper_2a8c021f6759,9,title_fuzzy,1.0
paper_7011783c3fb8,paper_c5d4f04ce012,3,title_fuzzy,1.0
paper_7011783c3fb8,paper_64e7e85917c9,13,title_fuzzy,1.0
paper_7011783c3fb8,paper_a383c001248d,16,title_fuzzy,1.0
paper_7011783c3fb8,paper_cb9be1a13261,18,title_fuzzy,1.0
paper_7011783c3fb8,paper_9460ffa9ca22,25,title_fuzzy,0.9859
paper_7011783c3fb8,paper_a008b247e92d,27,title_fuzzy,1.0
paper_7011783c3fb8,paper_2264c4bc760b,35,title_fuzzy,1.0
paper_7011783c3fb8,paper_7fd2657e48fa,37,title_fuzzy,1.0
paper_7011783c3fb8,paper_9f095499bb51,38,title_fuzzy,1.0
paper_7011783c3fb8,paper_e71c8e8d20d7,49,title_fuzzy,1.0
paper_7011783c3fb8,paper_6ebbe03ad015,50,title_fuzzy,1.0
paper_7011783c3fb8,paper_76834871d1a6,51,title_fuzzy,1.0
paper_7011783c3fb8,paper_75eccd9918af,59,title_fuzzy,1.0
paper_a7386e8a0fc0,paper_7abf107e88ab,1,title_fuzzy,1.0
paper_a7386e8a0fc0,paper_66cc3d1acbb2,25,title_fuzzy,1.0
paper_a7386e8a0fc0,paper_cb6c14060aa5,27,title_fuzzy,1.0
paper_4112ba421ef7,paper_4f4adbd6e184,5,title_fuzzy,1.0
paper_4112ba421ef7,paper_b8ac55a46eb7,6,title_fuzzy,1.0
paper_4112ba421ef7,paper_f8fc2748ac86,8,title_fuzzy,0.9574
paper_4112ba421ef7,paper_3c4e9029def1,11,title_fuzzy,1.0
paper_4112ba421ef7,paper_9a0ea4967582,12,title_fuzzy,1.0
paper_4112ba421ef7,paper_2eebca9cb25a,17,title_fuzzy,0.932
paper_78dc3a286aad,paper_1a1ca0b91a3d,5,title_fuzzy,1.0
paper_78dc3a286aad,paper_cd6ec042d204,6,title_fuzzy,1.0
paper_78dc3a286aad,paper_708a6149d510,8,title_fuzzy,1.0
paper_78dc3a286aad,paper_63a23f961f7d,10,title_fuzzy,1.0
paper_78dc3a286aad,paper_ebdd24f64959,11,title_fuzzy,1.0
paper_78dc3a286aad,paper_c4aee3fdcd11,22,title_fuzzy,1.0
paper_78dc3a286aad,paper_a7b0ef7b334b,26,title_fuzzy,0.9442
paper_78dc3a286aad,paper_dc93eaed554f,27,title_exact,0.95
paper_78dc3a286aad,paper_bcddfdf616a9,37,title_fuzzy,0.9432
paper_ebaa8a726ead,paper_35d0ab65068f,9,title_fuzzy,1.0
paper_17fa60a483fa,paper_fa9a61d176a5,6,title_fuzzy,0.9556
paper_17fa60a483fa,paper_9a1255ad83a3,9,title_fuzzy,1.0
paper_17fa60a483fa,paper_be873156e6a7,10,title_fuzzy,1.0
paper_17fa60a483fa,paper_014083318ff7,16,title_fuzzy,1.0
paper_17fa60a483fa,paper_e199901be839,18,title_fuzzy,1.0
paper_17fa60a483fa,paper_a0dc925b62e3,19,title_fuzzy,1.0
paper_17fa60a483fa,paper_254d08e62478,28,title_fuzzy,1.0
paper_4a5155c0f174,paper_8c5fe5543263,1,title_fuzzy,1.0
paper_4a5155c0f174,paper_1142458d1253,4,title_fuzzy,1.0
paper_4a5155c0f174,paper_fc06e2d40f48,5,title_fuzzy,1.0
paper_4a5155c0f174,paper_ae1d0492f72c,6,title_fuzzy,1.0
paper_4a5155c0f174,paper_023e0927d909,12,title_fuzzy,1.0
paper_4a5155c0f174,paper_eb0a5a9ad6b5,14,title_fuzzy,0.9925
paper_0bf18f7f6036,paper_22ab9db71d9e,11,title_fuzzy,1.0
