paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex,final_domain_id
paper_796d2ee30c31,group1,group1,group1/820_811025639007059969_10.1007%2Fs10107-017-1148-1.fixed.md,10.1007/s10107-017-1148-1,Two-stage non-cooperative games with risk-averse players,two stage non cooperative games with risk averse players,Jong-Shi Pang; Suvrajeet Sen; Uday V. Shanbhag,pang,2017.0,"@article{Pang_2017, title={Two-stage non-cooperative games with risk-averse players}, volume={165}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1148-1}, DOI={10.1007/s10107-017-1148-1}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Pang, Jong-Shi and Sen, Suvrajeet and Shanbhag, Uday V.}, year={2017}, month=Apr, pages={235â€“290} }",29
paper_4b2d65b21f99,group1,group1,group1/820_811025713283989504_10.1007%2Fs10107-017-1157-0.fixed.md,10.1007/s10107-017-1157-0,Quadratic programs with hollows,quadratic programs with hollows,Boshi Yang; Kurt Anstreicher; Samuel Burer,yang,2017.0,"@article{Yang_2017, title={Quadratic programs with hollows}, volume={170}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1157-0}, DOI={10.1007/s10107-017-1157-0}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Yang, Boshi and Anstreicher, Kurt and Burer, Samuel}, year={2017}, month=May, pages={541â€“553} }",11
paper_041ed5543f05,group1,group1,group1/820_811027674171441152_10.1007%2Fs10107-017-1156-1.fixed.md,10.1007/s10107-017-1156-1,Visualizing data as objects by DC (difference of convex) optimization,visualizing data as objects by dc difference of convex optimization,Emilio Carrizosa; Vanessa Guerrero; Dolores Romero Morales,carrizosa,2017.0,"@article{Carrizosa_2017, title={Visualizing data as objects by DC (difference of convex) optimization}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1156-1}, DOI={10.1007/s10107-017-1156-1}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Carrizosa, Emilio and Guerrero, Vanesa and Romero Morales, Dolores}, year={2017}, month=Apr, pages={119â€“140} }",8
paper_01f388b151a5,group1,group1,group1/820_811027808707936257_10.1007%2Fs10107-017-1150-7.fixed.md,10.1007/s10107-017-1150-7,Approximating min-cost chain-constrained spanning trees: a reduction from weighted to unweighted problems,approximating min cost chain constrained spanning trees a reduction from weighted to unweighted problems,Andre Linhares; Chaitanya Swamy,linhares,2017.0,"@article{Linhares_2017, title={Approximating min-cost chain-constrained spanning trees: a reduction from weighted to unweighted problems}, volume={172}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1150-7}, DOI={10.1007/s10107-017-1150-7}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Linhares, André and Swamy, Chaitanya}, year={2017}, month=Apr, pages={17–34} }",21
paper_f51c917321a3,group1,group1,group1/820_811028044301991936_10.1007%2Fs10107-017-1155-2.fixed.md,10.1007/s10107-017-1155-2,Critical multipliers in variational systems via second-order generalized differentiation,critical multipliers in variational systems via second order generalized differentiation,Boris S. Mordukhovich; M. Ebrahim Sarabi,mordukhovich,2017.0,"@article{Mordukhovich_2017, title={Critical multipliers in variational systems via second-order generalized differentiation}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1155-2}, DOI={10.1007/s10107-017-1155-2}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Mordukhovich, Boris S. and Sarabi, M. Ebrahim}, year={2017}, month=Apr, pages={605â€“648} }",4
paper_dcd5b188fbad,group1,group1,group1/820_811029902089256961_10.1007%2Fs10107-017-1138-3.fixed.md,10.1007/s10107-017-1138-3,Deriving convex hulls through lifting and projection,deriving convex hulls through lifting and projection,Trang T. Nguyen; Jean-Philippe P. Richard; Mohit Tawarmalani,nguyen,2017.0,"@article{Nguyen_2017, title={Deriving convex hulls through lifting and projection}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1138-3}, DOI={10.1007/s10107-017-1138-3}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Nguyen, Trang T. and Richard, Jean-Philippe P. and Tawarmalani, Mohit}, year={2017}, month=Apr, pages={377â€“415} }",8
paper_76bdbdc33292,group1,group1,group1/820_811030516210860032_10.1007%2Fs10107-017-1147-2.fixed.md,10.1007/s10107-017-1147-2,Mixed integer reformulations of integer programs and the affine TU-dimension of a matrix,mixed integer reformulations of integer programs and the affine tu dimension of a matrix,Jörg Bader; Robert Hildebrand; Robert Weismantel; Rico Zenklusen,bader,2017.0,"@article{Bader_2017, title={Mixed integer reformulations of integer programs and the affine TU-dimension of a matrix}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1147-2}, DOI={10.1007/s10107-017-1147-2}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bader, Jörg and Hildebrand, Robert and Weismantel, Robert and Zenklusen, Rico}, year={2017}, month=Apr, pages={565–584} }",5
paper_07e7e65bbe9d,group1,group1,group1/820_811031761524883457_10.1007%2Fs10107-017-1146-3.fixed.md,10.1007/s10107-017-1146-3,On M-stationarity conditions in MPECs and the associated qualification conditions,on m stationarity conditions in mpecs and the associated qualification conditions,Lukáš Adam; René Henrion; Jiří Outrata,adam,2017.0,"@article{Adam_2017, title={On M-stationarity conditions in MPECs and the associated qualification conditions}, volume={168}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1146-3}, DOI={10.1007/s10107-017-1146-3}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Adam, Lukáš and Henrion, René and Outrata, Jiří}, year={2017}, month=Apr, pages={229–259} }",4
paper_56695659f124,group1,group1,group1/820_811032090198933505_10.1007%2Fs10107-017-1145-4.fixed.md,10.1007/s10107-017-1145-4,SOCP reformulation for the generalized trust region subproblem via a canonical form of two symmetric matrices,socp reformulation for the generalized trust region subproblem via a canonical form of two symmetric matrices,Rujun Jiang; Duan Li; Baiyi Wu,jiang,2017.0,"@article{Jiang_2017, title={SOCP reformulation for the generalized trust region subproblem via a canonical form of two symmetric matrices}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1145-4}, DOI={10.1007/s10107-017-1145-4}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Jiang, Rujun and Li, Duan and Wu, Baiyi}, year={2017}, month=Apr, pages={531â€“563} }",10
paper_76f4a189974e,group1,group1,group1/820_811033516769804290_10.1007%2Fs10107-017-1144-5.fixed.md,10.1007/s10107-017-1144-5,DC decomposition of nonconvex polynomials with algebraic techniques,dc decomposition of nonconvex polynomials with algebraic techniques,Amir Ali Ahmadi; Georgina Hall,ahmadi,2017.0,"@article{Ahmadi_2017, title={DC decomposition of nonconvex polynomials with algebraic techniques}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1144-5}, DOI={10.1007/s10107-017-1144-5}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Ahmadi, Amir Ali and Hall, Georgina}, year={2017}, month=Apr, pages={69â€“94} }",13
